class template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
oox::drawingml::chart::ModelVector, //2, //2, //rcweir, //rcweir@unknown, //20110816, //main/oox/inc/oox/drawingml/chart/modelbase.hxx, //61
salhelper::SingletonRef, //7, //4, //rcweir, //rcweir@unknown, //20110816, //main/salhelper/inc/salhelper/singletonref.hxx, //76
ary::SCI_Vector, //5, //0, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/ary/inc/sci_impl.hxx, //43
CrossReferences, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/ary/inc/cross_refs.hxx, //37
dbaui::optional, //4, //3, //rcweir, //rcweir@unknown, //20110816, //main/dbaccess/inc/genericcontroller.hxx, //82
connectivity::jdbc::GlobalRef, //2, //1, //rcweir, //rcweir@unknown, //20110816, //main/connectivity/source/inc/java/GlobalRef.hxx, //46
connectivity::jdbc::LocalRef, //4, //2, //rcweir, //rcweir@unknown, //20110816, //main/connectivity/source/inc/java/LocalRef.hxx, //47
cppu::AggImplInheritanceHelper5, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/cppuhelper/inc/cppuhelper/implbase5.hxx, //236
cppu::ImplHelper5, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/cppuhelper/inc/cppuhelper/implbase5.hxx, //73
cppu::ImplInheritanceHelper5, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/cppuhelper/inc/cppuhelper/implbase5.hxx, //167
cppu::WeakAggImplHelper5, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/cppuhelper/inc/cppuhelper/implbase5.hxx, //129
cppu::WeakImplHelper5, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/cppuhelper/inc/cppuhelper/implbase5.hxx, //96
ww::WrappedHash, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/sw/source/filter/ww8/hash_wrap.hxx, //44
o3tl::detail::simple_pool_impl, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/o3tl/inc/o3tl/vector_pool.hxx, //34
vcl::DeleteOnDeinit, //4, //2, //rcweir, //rcweir@unknown, //20110816, //main/vcl/inc/vcl/lazydelete.hxx, //242
basebmp::ConstantColorBlendSetterAccessorAdapter, //2, //2, //rcweir, //rcweir@unknown, //20110816, //main/basebmp/inc/basebmp/colorblendaccessoradapter.hxx, //44
svt::GenericEditImplementation, //17, //1, //rcweir, //rcweir@unknown, //20110816, //main/svtools/inc/svtools/editbrowsebox.hxx, //164
connectivity::ado::WpOLEAppendCollection, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/connectivity/source/inc/ado/Aolewrap.hxx, //212
connectivity::ado::WpOLEBase, //6, //2, //rcweir, //rcweir@unknown, //20110816, //main/connectivity/source/inc/ado/Aolewrap.hxx, //78
connectivity::ado::WpOLECollection, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/connectivity/source/inc/ado/Aolewrap.hxx, //138
canvas::BitmapCanvasBase, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/canvas/inc/canvas/base/bitmapcanvasbase.hxx, //68
canvas::CanvasBase, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/canvas/inc/canvas/base/canvasbase.hxx, //101
ComSmart, //5, //1, //rcweir, //rcweir@unknown, //20110816, //main/embeddedobj/source/msole/olecomponent.cxx, //56
ucb_impl::RegexpMap, //3, //2, //rcweir, //rcweir@unknown, //20110816, //main/ucb/source/inc/regexpmap.hxx, //122
ucb_impl::RegexpMapConstIter, //5, //1, //rcweir, //rcweir@unknown, //20110816, //main/ucb/source/inc/regexpmap.hxx, //61
ucb_impl::RegexpMapEntry, //6, //1, //rcweir, //rcweir@unknown, //20110816, //main/ucb/source/inc/regexpmap.hxx, //37
ucb_impl::RegexpMapIter, //2, //1, //rcweir, //rcweir@unknown, //20110816, //main/ucb/source/inc/regexpmap.hxx, //94
dba::OAutoRegistration, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/dbaccess/source/core/inc/module_dba.hxx, //34
dba::OLegacySingletonRegistration, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/dbaccess/source/core/inc/module_dba.hxx, //34
dba::OSingletonRegistration, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/dbaccess/source/core/inc/module_dba.hxx, //34
ary::SortedIdSet, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/autodoc/source/ary/inc/sorted_idset.hxx, //58
canvas::BufferedGraphicDeviceBase, //1, //0, //rcweir, //rcweir@unknown, //20110816, //main/canvas/inc/canvas/base/bufferedgraphicdevicebase.hxx, //90
canvas::GraphicDeviceBase, //2, //1, //rcweir, //rcweir@unknown, //20110816, //main/canvas/inc/canvas/base/graphicdevicebase.hxx, //107
slideshow::internal::BinaryFunctionFunctor, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/slideshow/source/engine/smilfunctionparser.cxx, //307
slideshow::internal::ExpressionGrammar::definition, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/slideshow/source/engine/smilfunctionparser.cxx, //428
slideshow::internal::ShapeBoundsFunctor, //1, //1, //rcweir, //rcweir@unknown, //20110816, //main/slideshow/source/engine/smilfunctionparser.cxx, //94
slideshow::internal::UnaryFunctionFunctor, //2, //2, //rcweir, //rcweir@unknown, //20110816, //main/slideshow/source/engine/smilfunctionparser.cxx, //203
canvas::tools::ValueMap, //2, //2, //rcweir, //rcweir@unknown, //20110816, //main/canvas/inc/canvas/canvastools.hxx, //521
rtl_Instance, //6, //3, //rcweir, //rcweir@unknown, //20110816, //main/sal/inc/rtl/instance.hxx, //268
sal::systools::COMReference, //7, //2, //rcweir, //rcweir@unknown, //20110816, //main/sal/inc/systools/win32/comtools.hxx, //62
CFGuard, //0, //0, //rcweir, //rcweir@unknown, //20110816, //main/sal/osl/unx/osxlocale.cxx, //38
csv::SweList, //8, //2, //rcweir, //rcweir@unknown, //20110816, //main/cosv/inc/cosv/tpl/swelist.hxx, //67
csv::SweListIterator, //4, //2, //rcweir, //rcweir@unknown, //20110816, //main/cosv/inc/cosv/tpl/swelist.hxx, //160
PageHolderObject, //16, //2, //rcweir, //rcweir@unknown, //20110816, //main/store/workben/t_page.cxx, //349
csv::StringData, //9, //2, //rcweir, //rcweir@unknown, //20110816, //main/cosv/inc/cosv/stringdata.hxx, //39
cppu::AggImplInheritanceHelper32, //1, //0, //rcweir, //rcweir@unknown, //20110816, //main/sw/inc/unotxdoc.hxx, //113
cppu::ImplHelper32, //1, //0, //rcweir, //rcweir@unknown, //20110816, //main/sw/inc/unotxdoc.hxx, //113
