class implementing CRTP, uses, developer, email, edit time, definition file path, line

virtual function, calls, developer, email, edit time, definition file path, line
symresolution_info::visit_block, //0, //fche, //fche, //20050521, //elaborate.cxx, //696
symresolution_info::visit_delete_statement, //0, //graydon, //graydon, //20050809, //elaborate.cxx, //763
symresolution_info::visit_foreach_loop, //0, //fche, //fche, //20050602, //elaborate.cxx, //713
symresolution_info::visit_functioncall, //0, //fche, //fche, //20050521, //elaborate.cxx, //829
symresolution_info::visit_symbol, //0, //fche, //fche, //20050521, //elaborate.cxx, //771
typeresolution_info::visit_array_in, //0, //fche, //fche, //20050521, //elaborate.cxx, //1587
typeresolution_info::visit_arrayindex, //0, //fche, //fche, //20050521, //elaborate.cxx, //1340
typeresolution_info::visit_assignment, //0, //fche, //fche, //20050603, //elaborate.cxx, //1092
typeresolution_info::visit_binary_expression, //0, //fche, //fche, //20050603, //elaborate.cxx, //1182
typeresolution_info::visit_block, //0, //fche, //fche, //20050521, //elaborate.cxx, //1425
typeresolution_info::visit_break_statement, //0, //fche, //fche, //20050605, //elaborate.cxx, //1575
typeresolution_info::visit_comparison, //0, //fche, //fche, //20050521, //elaborate.cxx, //1048
typeresolution_info::visit_concatenation, //0, //fche, //fche, //20050521, //elaborate.cxx, //1073
typeresolution_info::visit_continue_statement, //0, //fche, //fche, //20050605, //elaborate.cxx, //1581
typeresolution_info::visit_delete_statement, //0, //fche, //fche, //20050521, //elaborate.cxx, //1560
typeresolution_info::visit_embeddedcode, //0, //fche, //fche, //20050726, //elaborate.cxx, //1443
typeresolution_info::visit_expr_statement, //0, //fche, //fche, //20050521, //elaborate.cxx, //1529
typeresolution_info::visit_for_loop, //0, //fche, //fche, //20050521, //elaborate.cxx, //1466
typeresolution_info::visit_foreach_loop, //0, //fche, //fche, //20050602, //elaborate.cxx, //1480
typeresolution_info::visit_functioncall, //0, //fche, //fche, //20050521, //elaborate.cxx, //1382
typeresolution_info::visit_if_statement, //0, //fche, //fche, //20050521, //elaborate.cxx, //1449
